site_id,site_name,state,latitude,longitude,elevation_m,temp_bias_c,prec_total_bias_pct
589:CO:SNTL,Lone Cone,CO,37.89169,-108.19636,2973.324,1.245480521749334,-29.18296747689147
1040:CO:SNTL,Mccoy Park,CO,39.60231,-106.544,2900.4768000000004,7.7298254735282,-27.60660766088448
624:CO:SNTL,Middle Creek,CO,37.61779,-107.03932,3434.7912,1.424935017345064,-64.26177046051062
1031:CO:SNTL,Never Summer,CO,40.40392,-105.95567,3146.4504,-2.6751278030782086,-28.795606218865476
663:CO:SNTL,Niwot,CO,40.03581,-105.5452,3041.5992,1.0988585213705464,-43.89761823561864
739:CO:SNTL,Scotch Creek,CO,37.64562,-108.00833,2802.636,1.3255404056278768,-18.06712232532272
829:CO:SNTL,Trinchera,CO,37.35296,-105.23259,3329.0256000000004,1.0072963805532829,-68.72909293818587
839:CO:SNTL,Upper Rio Grande,CO,37.72172,-107.25971,2858.7192,2.0228320561870645,-11.520649900105784
843:CO:SNTL,Vallecito,CO,37.48524,-107.50748,3286.3536000000004,-1.5623934543849574,-17.73178234343223
320:ID:SNTL,Bear Canyon,ID,43.74367,-113.93797,2407.92,1.485974948087922,-11.44566352986362
323:ID:SNTL,Bear Mountain,ID,48.30577,-116.07448,1645.92,-1.2311872445087009,-17.179196871363114
550:ID:SNTL,Jackson Peak,ID,44.05092,-115.44322,2154.936,1.5763068808598288,-19.541528419398873
989:ID:SNTL,Moscow Mountain,ID,46.805,-116.8535,1432.5600000000002,-1.1106359535924433,-27.75326512070605
741:ID:SNTL,Sedgwick Peak,ID,42.52497,-111.95635,2392.6800000000003,1.345092949538713,-23.55860805622435
774:ID:SNTL,South Mtn.,ID,42.76478,-116.90037,1981.2,-1.0774680122830829,-30.4360742407199
860:ID:SNTL,White Elephant,ID,44.53267,-111.41085,2350.0080000000003,-1.1125288282199866,-15.457905322075709
916:MT:SNTL,Albro Lake,MT,45.59723,-111.95902,2529.84,-1.5521279196734936,-72.87443418275885
311:MT:SNTL,Banfield Mountain,MT,48.5712,-115.44573,1706.88,-1.170851616358425,-22.134597650703487
458:MT:SNTL,Dupuyer Creek,MT,48.06341,-112.7573,1752.6,-1.055119979001119,-52.92476075105997
500:MT:SNTL,Grave Creek,MT,48.91453,-114.76663,1310.64,-1.0296281154360505,-11.67786229723895
510:MT:SNTL,Hand Creek,MT,48.30754,-114.84075,1534.668,-1.0064964186004342,-24.528382634603112
516:MT:SNTL,Hawkins Lake,MT,48.9723,-115.95337,1965.96,-1.324214683124406,-20.53575610740965
562:MT:SNTL,Kraft Creek,MT,47.42749,-113.77515,1447.8000000000002,-1.3382365560205254,-15.038561071634344
590:MT:SNTL,Lone Mountain,MT,45.27412,-111.42692,2706.6240000000003,-1.1265449788744066,-75.47738788086271
613:MT:SNTL,Many Glacier,MT,48.79698,-113.6705,1493.52,-1.150210874723722,-83.24247058303106
649:MT:SNTL,Mount Lockhart,MT,47.91727,-112.8238,1950.72,-1.392252579444041,-69.30371895820714
664:MT:SNTL,Noisy Basin,MT,48.15678,-113.94637,1840.992,-1.1677077111255485,-38.022326040678145
932:MT:SNTL,Poorman Creek,MT,48.12672,-115.62333,1554.48,-1.2826990021472373,-21.07972621541572
850:MT:SNTL,Warm Springs,MT,46.27368,-113.164,2377.44,-1.0249525911415298,-38.9160094566343
924:MT:SNTL,West Yellowstone,MT,44.65866,-111.09199,2042.16,-1.0749076310307994,-69.75060736326878
316:NM:SNTL,Bateman,NM,36.51174,-106.31543,2819.0952,1.2633519637202608,-74.357863655201
394:NM:SNTL,Chamita,NM,36.95606,-106.65723,2555.1384000000003,1.0740299848139494,-18.491586051743525
921:NM:SNTL,Elk Cabin,NM,35.7073,-105.80584,2511.2472,1.0986783380091552,-43.713029878114554
486:NM:SNTL,Frisco Divide,NM,33.73687,-108.94327,2442.3624,1.8217023505367704,-23.338356616713245
491:NM:SNTL,Gallegos Peak,NM,36.19418,-105.55742,2889.5040000000004,1.2003062869892698,-59.73731332640023
595:NM:SNTL,Lookout Mountain,NM,33.36089,-107.83203,2593.5432,1.394415449700759,-35.80262795275589
665:NM:SNTL,North Costilla,NM,36.99396,-105.25988,3230.2704000000003,1.8468415505080136,-47.81310080536511
708:NM:SNTL,Quemazon,NM,35.92195,-106.39179,2897.7336,1.2213223740331716,-41.89060550837259
933:NM:SNTL,Rice Park,NM,35.23658,-108.27404,2589.8856,2.5811114161332647,-79.21629073288916
922:NM:SNTL,Santa Fe,NM,35.77154,-105.78487,3494.532,2.062430030685692,-60.40104023694285
744:NM:SNTL,Senorita Divide #2,NM,36.00152,-106.83408,2611.8312,1.913331502754144,-49.132551232398875
1034:NM:SNTL,Sierra Blanca,NM,33.40682,-105.79467,3129.6864,3.9137993663371224,-49.13067841685352
755:NM:SNTL,Signal Peak,NM,32.92342,-108.14546,2561.844,3.025251751213392,-36.08604822834645
757:NM:SNTL,Silver Creek Divide,NM,33.3696,-108.70711,2772.4608000000003,2.2343110702507087,-13.490964065855405
854:NM:SNTL,Wesner Springs,NM,35.77584,-105.54337,3398.8248000000003,1.7634641502591553,-57.24318492898668
340:NV:SNTL,Big Meadow,NV,39.455,-119.9422,2510.028,1.33770891021121,-27.66249352551861
454:NV:SNTL,Draw Creek,NV,41.661,-115.3234,2234.7936,-1.4046447825268211,-22.3937465665629
476:NV:SNTL,Fawn Creek,NV,41.82098,-116.10153,2143.0488,-1.287550657467298,-50.2181632493958
503:NV:SNTL,Green Mountain,NV,40.3848,-115.52757,2494.788,-1.0280488227385616,-41.375858322587725
548:NV:SNTL,Jack Creek Upper,NV,41.54675,-116.00517,2248.5096000000003,-1.1155302825302384,-27.25772259236825
569:NV:SNTL,Lamance Creek,NV,41.51542,-117.63197,1949.196,-1.5193047434486078,-21.993816642963672
849:NV:SNTL,Ward Mountain,NV,39.13242,-114.95575,2792.8824,1.401192316216917,-38.79759268784869
302:OR:SNTL,Aneroid Lake #2,OR,45.21328,-117.19258,2255.52,1.0330106287443148,-13.721003505948612
647:OR:SNTL,Moss Springs,OR,45.27173,-117.68747,1755.648,1.0480391103846378,-28.68331060037372
339:UT:SNTL,Big Flat,UT,38.30183,-112.35672,3154.3752,1.212139952986522,-19.96823890916075
383:UT:SNTL,Camp Jackson,UT,37.81333,-109.48723,2699.9184,-1.425397621319613,-26.26474690663666
621:UT:SNTL,Merchant Valley,UT,38.30285,-112.43637,2653.284,1.297991943381899,-10.28100475043926
723:UT:SNTL,Rocky Basin-Settleme,UT,40.44293,-112.22377,2652.9792,1.3925448836184433,-28.906575996182283
766:UT:SNTL,Snowbird,UT,40.56914,-111.65852,2797.1496,-1.161102247194041,-16.443073619294083
389:WY:SNTL,Casper Mtn.,WY,42.73362,-106.31789,2414.016,1.2644597141221692,-47.55002474690663
460:WY:SNTL,East Rim Divide,WY,43.13097,-110.2023,2417.0640000000003,-1.9070164798752065,-14.841558605174354
468:WY:SNTL,Elkhart Park G.S.,WY,43.00657,-109.75893,2865.1200000000003,-2.236016943359711,-26.55976377952755
944:WY:SNTL,Gunsight Pass,WY,43.38332,-109.87815,2993.136,-1.0534181277323496,-21.3364217365206
577:WY:SNTL,Lewis Lake Divide,WY,44.20862,-110.66628,2392.6800000000003,-1.0663532504624316,-22.60527855070748
668:WY:SNTL,North French Creek,WY,41.33087,-106.37558,3094.6344000000004,1.0366319520181089,-86.58210433070866
673:WY:SNTL,Old Battle,WY,41.15426,-106.96926,3005.328,1.668840812292915,-19.795231379888985
875:WY:SNTL,Wolverine,WY,44.80417,-109.657,2331.7200000000003,-1.1105168677648185,-78.35680818248234
